filename,url,description,tags,uploaded_at,usage,size_bytes,content_type
carmania-share.png,https://pub-af4818e955f442b2931c620d7cdee98e.r2.dev/carmania-share.png,Farcaster mini app embed Ghia w tagline,"share,og,fc",2025-07-16,fc-manifest,245760,image/png
carculture-logo-black-transp.png,https://pub-af4818e955f442b2931c620d7cdee98e.r2.dev/carculture-logo-black-transp.png,Black CarCulture logo transparent background 9694 bytes,"logo,black,branding,transparent",2025-07-16,general,9694,image/png
carculture-logo-wing-white-trans.png,https://pub-af4818e955f442b2931c620d7cdee98e.r2.dev/carculture-logo-wing-white-trans.png,White CarCulture wing logo 2040px on transparent background,"logo,white,branding,transparent,wing",2025-07-16,general,165347,image/png 
